Age,Gender,Educational Qualification,Location,Tenure,Monthly Salary,Incentive Earnings,Attendance %,Leave Utilization,Distance from Workplace,Number of Transfers,Performance Rating,Training Hours,Promotion History,Manager Effectiveness Score,Employee Engagement Score,Overtime Hours,Previous Attrition Label
51,Male,Bachelors,Sylhet,1,124826,7835.96,85.82,11,2,2,4,98,3,2,6,43,Yes
26,Male,Masters,Rajshahi,4,133902,7185.44,86.1,11,1,4,3,49,3,8,3,23,No
30,Male,Bachelors,Sylhet,13,104515,9848.07,82.49,21,3,0,5,63,2,4,5,29,No
43,Female,Bachelors,Khulna,7,21516,3777.92,97.38,13,5,0,5,16,2,6,4,14,No
30,Female,High School,Sylhet,5,120116,12120.86,93.66,12,22,4,2,34,1,2,8,17,Yes
50,Male,High School,Khulna,5,100629,15708.28,84.46,20,21,3,2,52,3,5,5,28,No
39,Male,High School,Sylhet,11,51234,3204.71,83.9,14,28,2,5,30,0,8,2,3,No
24,Female,Bachelors,Sylhet,14,132420,16787.75,91.87,23,22,4,4,52,3,7,4,42,Yes
28,Male,Bachelors,Khulna,14,139185,10745.95,81.76,13,18,3,1,14,3,2,8,31,Yes
58,Female,Bachelors,Barisal,4,131507,15580.12,81.65,12,26,4,2,60,3,8,10,45,Yes
31,Female,High School,Barisal,1,63034,8850.96,85.26,11,12,1,1,75,2,7,1,43,Yes
34,Female,Bachelors,Dhaka,10,85255,6942.47,76.47,22,10,0,4,58,2,10,3,33,No
54,Female,Bachelors,Dhaka,12,42233,6906.22,87.68,9,18,2,2,95,1,6,10,26,No
31,Other,Bachelors,Barisal,7,91168,12370.79,91.67,17,11,3,4,55,3,6,7,3,No
57,Male,Bachelors,Barisal,10,70507,3553.1,90.92,15,8,2,4,55,1,3,3,6,No
42,Male,Bachelors,Khulna,5,62864,10429.05,87.86,5,23,4,1,62,2,6,7,38,No
38,Female,Masters,Khulna,11,114160,17633.15,94.17,17,1,4,5,83,0,5,4,17,No
40,Male,Masters,Sylhet,6,23844,3276.35,85.93,14,17,1,1,40,3,9,9,37,No
53,Male,High School,Khulna,4,106632,17453.78,90.84,8,15,0,5,14,2,9,8,7,No
38,Female,Bachelors,Chittagong,12,74895,7114.87,81.03,15,27,2,3,98,1,1,7,14,Yes
55,Female,PhD,Chittagong,5,109878,12453.11,96.76,17,29,3,5,10,3,7,6,16,No
46,Male,Masters,Dhaka,12,146232,24375.96,78.59,15,25,0,5,54,3,8,4,5,No
47,Male,Masters,Dhaka,13,88319,6933.33,78.59,12,3,1,4,98,2,3,5,33,No
32,Male,Masters,Chittagong,14,49118,9169.87,97.53,12,3,3,1,99,0,1,7,48,Yes
34,Male,Masters,Rajshahi,14,74862,4633.34,97.94,17,17,0,4,24,2,5,3,38,No
31,Female,Bachelors,Khulna,1,81806,14509.82,93.66,12,2,4,2,84,1,2,8,34,Yes
22,Female,Bachelors,Rajshahi,8,70086,5239.23,79.05,10,10,1,4,40,0,9,9,39,No
24,Male,Bachelors,Khulna,3,139944,7045.75,76.83,19,21,1,5,40,3,8,10,30,No
53,Female,Bachelors,Sylhet,10,70527,3900.54,77.68,17,21,2,4,40,2,4,10,5,No
27,Male,Bachelors,Rajshahi,2,124495,24878.58,90.74,7,24,2,3,68,0,3,4,2,No
54,Female,Bachelors,Sylhet,10,23489,4043.77,79.02,24,7,2,4,57,3,7,6,41,Yes
59,Male,Masters,Barisal,10,102065,16294.36,79.94,21,1,3,4,56,1,6,5,5,No
32,Female,Bachelors,Barisal,11,83618,5440.57,95.69,22,28,2,4,41,2,7,7,46,Yes
29,Male,Masters,Chittagong,12,130879,23729.01,99.54,21,4,3,4,83,0,6,8,8,No
44,Other,Bachelors,Sylhet,1,80753,13658.48,83.53,24,29,4,1,68,1,1,2,36,Yes
