Age,Gender,Educational Qualification,Location,Tenure,Monthly Salary,Incentive Earnings,Attendance %,Leave Utilization,Distance from Workplace,Number of Transfers,Performance Rating,Training Hours,Promotion History,Manager Effectiveness Score,Employee Engagement Score,Overtime Hours,Previous Attrition Label
41,Female,Masters,Barisal,11,122930,6216.5,89.31,23,18,1,2,26,1,8,9,9,No
42,Female,Bachelors,Dhaka,11,123780,17505.32,96.53,11,1,4,3,20,0,4,10,30,No
44,Male,Masters,Dhaka,13,19285,3492.73,82.08,10,8,1,2,71,1,1,6,48,Yes
26,Male,High School,Sylhet,2,58592,5960.17,97.08,14,20,4,4,27,0,9,7,39,No
26,Female,Bachelors,Rajshahi,10,86769,11781.97,91.06,8,3,0,5,99,3,8,6,31,No
33,Male,High School,Chittagong,5,19647,3550.49,77.71,22,16,4,2,17,0,5,8,26,Yes
40,Male,Bachelors,Chittagong,2,41018,7924.08,86.76,20,14,1,3,55,1,8,3,23,No
28,Other,High School,Dhaka,4,84734,12420.4,75.56,6,5,3,1,35,2,1,8,23,Yes
50,Male,Masters,Chittagong,10,111436,18929.7,93.74,15,20,1,5,89,2,4,3,17,No
29,Male,Bachelors,Chittagong,5,127584,20567.38,89.33,16,23,2,3,45,3,7,10,21,No
27,Male,Bachelors,Sylhet,9,45890,4920.61,89.52,23,26,1,4,75,0,6,10,7,No
46,Female,Bachelors,Chittagong,14,107271,10106.5,76.03,20,20,2,3,24,1,6,4,16,No
28,Female,Bachelors,Barisal,5,106604,15717.88,85.35,6,23,4,4,94,0,4,6,22,No
37,Male,Bachelors,Barisal,10,70506,13683.56,93.48,8,26,3,5,74,2,2,7,7,Yes
36,Female,PhD,Barisal,7,63849,8920.39,98.32,24,5,2,3,14,1,4,5,36,No
46,Male,Bachelors,Dhaka,4,23590,1365.76,80.53,13,24,1,1,25,2,10,5,5,No
48,Male,High School,Rajshahi,12,131187,6917.13,80.27,14,28,4,2,24,1,8,1,48,Yes
42,Male,High School,Rajshahi,11,28271,2260.89,88.92,13,14,1,3,83,3,1,2,11,Yes
25,Male,Bachelors,Rajshahi,4,114584,7922.7,77.18,12,25,3,5,78,0,5,6,28,No
32,Female,Masters,Sylhet,5,93655,15360.16,86.62,22,22,4,5,58,1,3,3,13,No
36,Female,Bachelors,Rajshahi,6,18621,1452.56,75.83,9,18,2,4,46,1,6,4,1,No
59,Male,Bachelors,Barisal,3,114123,18159.57,83.42,14,23,1,2,82,3,7,5,22,No
26,Male,Masters,Barisal,10,135248,11820.03,88.87,19,28,3,2,87,1,8,3,23,Yes
41,Male,Bachelors,Dhaka,12,47782,8277.87,93.5,23,4,3,1,20,1,5,5,6,No
46,Female,Bachelors,Rajshahi,10,134857,9940.58,83.0,8,13,3,3,15,1,4,3,30,No
28,Male,Bachelors,Sylhet,1,112172,16353.14,89.87,8,28,2,3,42,0,9,5,6,No
41,Female,Bachelors,Sylhet,12,75181,13734.47,96.26,7,26,3,1,70,2,1,9,28,Yes
59,Male,Bachelors,Rajshahi,3,100497,7757.73,95.27,24,21,1,4,20,0,6,5,20,No
39,Male,Bachelors,Sylhet,6,143964,13130.89,82.76,19,6,3,5,47,1,7,9,8,No
22,Male,Bachelors,Rajshahi,1,104271,20314.8,81.05,8,3,4,5,80,3,6,7,20,No
43,Male,Bachelors,Rajshahi,9,25322,2256.94,80.62,15,11,0,1,84,0,9,5,4,No
33,Male,Masters,Chittagong,9,124822,19622.84,94.3,8,9,2,2,27,0,5,4,8,No
39,Female,Bachelors,Khulna,5,108975,12225.55,92.65,14,19,3,3,45,3,4,7,20,No
33,Female,High School,Sylhet,3,128302,24295.98,95.06,13,9,0,5,46,2,4,2,4,No
35,Male,Masters,Khulna,8,147015,13995.39,93.75,15,29,4,3,39,0,4,2,34,No
46,Male,Masters,Chittagong,3,100610,14736.14,94.66,13,5,4,3,35,2,6,8,30,No
36,Male,Bachelors,Rajshahi,7,103202,15638.31,79.58,12,7,1,2,12,1,1,6,45,Yes
34,Other,Masters,Dhaka,7,83557,8607.99,93.59,7,23,4,2,34,0,3,8,43,Yes
36,Male,Bachelors,Dhaka,14,33743,6035.82,79.64,5,12,1,2,97,0,10,9,43,Yes
43,Male,Bachelors,Chittagong,9,81531,11804.78,96.03,6,22,3,4,50,1,1,8,39,No
24,Other,Masters,Sylhet,6,75166,14104.2,84.6,14,20,1,1,67,0,3,9,47,Yes
22,Female,High School,Rajshahi,4,118319,22960.94,94.37,6,29,0,5,56,1,10,6,26,No
27,Male,High School,Sylhet,1,124102,23723.43,78.35,19,13,1,5,93,0,10,8,21,No
40,Female,Bachelors,Rajshahi,8,55729,11073.45,77.59,23,15,4,2,37,1,9,9,2,No
29,Male,Bachelors,Khulna,4,24350,1902.88,98.74,7,10,4,2,33,0,6,8,6,No
47,Female,Bachelors,Chittagong,11,141497,26782.29,94.5,23,19,3,5,72,3,8,1,41,Yes
34,Male,High School,Sylhet,4,44902,5519.94,78.56,15,28,4,1,11,1,10,2,13,Yes
32,Female,Bachelors,Chittagong,1,37685,6857.92,78.37,9,24,2,1,90,2,2,5,29,Yes
41,Male,Bachelors,Dhaka,4,25486,2527.2,96.96,22,15,4,4,11,1,6,10,25,No
56,Male,High School,Chittagong,14,100329,11254.67,93.46,7,7,1,1,10,2,2,9,42,Yes
37,Male,Masters,Dhaka,8,15103,927.14,99.79,24,17,3,4,24,2,6,2,32,No
57,Male,Masters,Barisal,8,123512,10917.24,98.28,16,26,1,2,50,2,8,2,45,Yes
44,Male,Bachelors,Rajshahi,7,48814,4248.65,88.63,8,6,3,2,26,0,10,8,34,No
50,Female,High School,Rajshahi,9,42359,2165.93,98.61,19,24,3,5,13,3,8,7,47,Yes
37,Female,Bachelors,Dhaka,8,45054,6008.88,89.32,23,17,3,5,13,2,6,7,40,No
31,Female,Masters,Chittagong,3,30460,4796.85,90.86,12,16,3,2,46,0,4,8,44,Yes
25,Male,Masters,Khulna,3,85693,5274.02,80.98,8,3,3,4,37,0,2,10,16,No
43,Male,PhD,Dhaka,2,136044,26992.25,92.11,19,29,0,1,73,0,10,2,45,Yes
22,Female,High School,Sylhet,2,59544,6135.2,76.35,11,19,2,3,68,0,3,6,14,No
32,Male,Bachelors,Sylhet,12,145309,17245.0,88.34,21,25,0,5,46,3,10,5,42,Yes
42,Male,PhD,Chittagong,4,54581,7480.54,92.74,9,25,2,2,86,0,7,5,13,No
32,Male,Bachelors,Khulna,9,22499,3493.76,93.86,10,18,1,1,51,2,7,2,28,No
59,Male,Masters,Dhaka,7,38762,3349.77,85.86,7,18,4,4,28,1,9,5,26,No
39,Female,High School,Barisal,9,81208,9972.78,95.1,24,15,3,3,88,2,3,4,49,Yes
59,Female,Bachelors,Rajshahi,3,121031,20534.52,88.06,17,12,0,4,84,3,2,6,1,No
23,Male,Bachelors,Dhaka,4,30023,5321.93,89.24,16,6,4,2,20,0,5,4,31,No
51,Male,Masters,Barisal,4,110937,16101.92,90.8,6,23,2,2,19,0,5,9,1,No
55,Male,High School,Dhaka,7,106567,14646.84,98.96,21,11,4,3,85,3,9,1,2,No
22,Female,Bachelors,Barisal,12,146741,18418.01,76.82,9,28,4,1,40,2,8,8,46,Yes
23,Female,High School,Khulna,9,47604,2621.21,83.68,5,26,2,5,71,1,9,9,30,No
39,Male,Bachelors,Chittagong,5,50668,4287.68,75.01,24,13,2,5,70,0,3,5,9,No
33,Male,Masters,Chittagong,13,92647,9603.55,95.47,8,1,4,5,63,2,2,2,27,No
35,Male,Bachelors,Barisal,3,149237,22420.6,96.41,10,23,3,1,44,2,10,7,8,No
57,Female,Bachelors,Khulna,4,64463,9767.6,97.78,7,2,4,4,58,0,8,8,3,No
51,Male,Masters,Rajshahi,5,81693,11664.14,91.68,6,18,1,4,70,1,3,1,8,No
38,Female,PhD,Khulna,12,141836,15397.99,90.77,6,6,4,3,10,2,2,8,12,Yes
23,Male,Masters,Dhaka,6,57119,7642.44,78.7,21,8,0,1,53,0,4,8,31,No
50,Female,High School,Dhaka,1,43497,4739.22,86.28,22,10,4,2,21,3,1,3,27,Yes
55,Male,Bachelors,Sylhet,10,24751,1999.36,90.23,18,12,2,1,71,1,9,10,25,No
24,Male,Bachelors,Khulna,8,117111,17652.86,78.0,20,14,0,3,31,1,5,6,0,No
44,Male,Masters,Rajshahi,4,77171,8281.85,97.67,15,10,1,2,38,1,2,10,14,Yes
53,Male,High School,Barisal,5,81681,7860.92,82.66,19,16,0,2,50,0,10,5,39,No
54,Male,High School,Barisal,13,77634,5285.41,79.43,9,8,2,1,31,1,1,1,19,Yes
40,Male,High School,Sylhet,6,77288,12726.47,75.38,17,28,3,5,43,1,5,7,38,No
46,Male,Masters,Rajshahi,3,24805,2313.32,92.87,5,9,4,4,57,1,1,5,19,No
46,Female,Bachelors,Khulna,6,111425,6827.69,79.63,7,18,0,3,81,3,9,6,17,No
37,Male,Bachelors,Sylhet,13,47641,3796.54,97.93,5,13,2,2,80,0,1,7,47,Yes
47,Male,Masters,Chittagong,10,77307,5635.78,92.62,22,13,1,4,32,2,8,1,18,No
47,Male,Masters,Chittagong,13,109801,16575.29,75.53,7,8,3,2,78,2,7,9,1,No
51,Female,High School,Sylhet,7,49215,3015.16,97.67,21,5,2,1,58,0,5,3,32,No
45,Female,Masters,Khulna,6,65855,7106.09,79.66,22,27,3,1,67,1,2,7,4,Yes
47,Female,Bachelors,Rajshahi,1,26325,3152.27,81.9,10,22,3,3,32,0,4,10,29,No
42,Male,PhD,Sylhet,5,149505,8013.85,80.74,18,13,4,1,28,3,1,4,13,Yes
37,Female,Bachelors,Barisal,11,17363,1517.74,98.95,9,28,2,3,43,1,9,1,25,Yes
38,Male,High School,Dhaka,7,81411,13991.87,90.97,20,6,3,3,46,1,6,5,39,No
