Age,Gender,Educational Qualification,Location,Tenure,Monthly Salary,Incentive Earnings,Attendance %,Leave Utilization,Distance from Workplace,Number of Transfers,Performance Rating,Training Hours,Promotion History,Manager Effectiveness Score,Employee Engagement Score,Overtime Hours,Previous Attrition Label
25,Female,Bachelors,Barisal,7,109908,16100.79,91.22,24,20,0,5,40,3,3,6,25,No
40,Female,PhD,Barisal,4,139929,22749.09,93.25,22,25,0,3,65,3,2,8,6,No
33,Female,High School,Rajshahi,8,93001,17759.45,89.09,16,4,3,4,42,1,1,7,20,No
28,Male,Bachelors,Barisal,6,25497,3864.47,95.68,13,26,1,1,41,3,2,7,15,Yes
37,Male,High School,Barisal,2,76966,6242.48,89.02,11,15,4,2,95,2,7,1,39,No
50,Male,Masters,Rajshahi,5,26794,3778.66,88.56,23,16,0,3,87,1,1,9,43,Yes
36,Male,Masters,Rajshahi,12,33833,3864.83,93.35,9,2,0,1,83,0,7,4,16,No
55,Female,PhD,Khulna,13,35391,4745.09,88.97,21,15,4,3,56,3,9,6,44,Yes
42,Female,Bachelors,Barisal,13,98397,5333.45,88.64,5,24,0,5,54,2,3,2,27,No
54,Male,Bachelors,Sylhet,4,43008,6892.45,87.12,18,9,1,1,58,0,6,8,48,Yes
49,Female,Bachelors,Barisal,14,27976,1854.17,78.29,14,16,1,4,53,0,1,10,15,Yes
22,Other,High School,Dhaka,7,127628,10334.75,83.89,18,16,1,5,42,3,8,1,19,No
56,Male,High School,Rajshahi,9,32251,2065.38,75.49,6,2,1,3,69,0,3,4,13,No
49,Female,Bachelors,Sylhet,4,95496,16858.76,96.92,24,6,2,1,42,0,8,4,11,No
51,Male,High School,Chittagong,13,118102,11661.64,95.84,14,6,3,2,34,1,5,3,3,No
56,Male,Bachelors,Chittagong,1,92039,7710.15,97.21,16,17,4,5,18,3,9,8,22,No
37,Male,Bachelors,Rajshahi,5,83847,14123.64,88.3,11,26,1,1,12,0,8,1,6,Yes
55,Male,Bachelors,Sylhet,6,45161,5629.4,78.77,13,7,3,2,94,1,7,3,6,No
34,Male,Bachelors,Barisal,10,105554,5474.67,93.94,20,10,2,4,91,2,9,10,49,Yes
58,Other,Bachelors,Chittagong,6,128618,9150.73,97.55,21,15,2,3,95,3,5,1,37,No
50,Male,Bachelors,Khulna,8,28338,5529.31,93.14,10,16,3,3,51,1,1,5,37,No
23,Male,Bachelors,Dhaka,7,82356,15011.57,86.97,21,27,1,2,88,3,8,10,39,Yes
55,Male,Bachelors,Rajshahi,2,34396,3341.21,78.34,20,26,1,3,20,1,5,5,11,No
52,Female,PhD,Sylhet,7,70276,12478.63,78.49,11,11,0,1,23,1,3,5,14,No
42,Other,Masters,Khulna,8,83504,13784.88,86.65,8,2,3,2,52,3,9,4,34,No
32,Female,High School,Khulna,6,29705,2680.78,88.19,16,22,0,1,12,3,1,10,9,Yes
44,Male,Bachelors,Sylhet,8,40242,5138.12,81.37,21,2,2,1,75,3,10,8,42,Yes
34,Male,Bachelors,Barisal,13,115762,9327.47,80.9,6,16,4,3,72,0,1,4,32,No
29,Male,High School,Sylhet,8,61753,4271.79,87.5,7,16,1,2,50,0,1,4,11,Yes
39,Other,Bachelors,Barisal,11,30954,3786.98,83.94,6,5,4,4,72,0,2,6,8,No
42,Male,High School,Sylhet,6,79066,15654.26,83.33,20,19,4,3,21,2,6,9,11,No
53,Male,High School,Chittagong,13,25831,3882.99,79.34,7,15,3,1,42,0,9,3,4,No
43,Male,Bachelors,Sylhet,4,118756,23274.67,76.46,14,20,4,5,40,2,4,6,14,No
34,Female,Bachelors,Khulna,3,101749,10588.16,89.78,17,24,3,1,74,3,4,3,33,No
38,Male,Masters,Chittagong,12,51306,4484.31,98.48,17,13,2,2,46,2,10,7,7,No
34,Female,Masters,Dhaka,11,95759,15370.58,98.55,15,11,3,2,85,3,3,6,44,Yes
50,Male,PhD,Dhaka,9,74253,5742.5,77.54,17,1,1,5,98,3,2,1,2,No
56,Male,Bachelors,Sylhet,13,86828,5394.19,80.37,5,7,3,4,96,1,6,6,46,Yes
23,Male,Masters,Rajshahi,1,49235,2625.64,90.73,10,13,3,1,34,1,5,5,4,No
33,Female,Bachelors,Barisal,5,112081,8322.04,91.24,19,18,4,3,96,1,6,7,38,No
25,Male,Masters,Rajshahi,3,44068,4460.07,97.67,5,16,1,4,73,0,4,9,37,No
26,Male,High School,Rajshahi,5,146979,28474.05,76.51,15,27,2,5,12,2,9,6,20,No
51,Female,Bachelors,Rajshahi,14,71318,11963.5,75.65,10,14,2,4,77,2,1,10,21,No
51,Male,Bachelors,Chittagong,8,16459,1463.39,77.4,5,4,0,4,71,1,5,2,22,No
49,Male,Masters,Dhaka,3,72912,4045.47,96.26,18,23,2,1,61,2,10,3,13,No
23,Male,Bachelors,Rajshahi,7,53551,5533.07,98.47,21,18,0,3,42,0,3,9,4,No
31,Female,High School,Sylhet,14,58776,4803.08,91.37,9,9,0,1,90,1,1,3,7,Yes
40,Male,PhD,Sylhet,2,132118,13587.45,88.74,14,23,1,5,93,0,6,5,42,Yes
55,Female,Bachelors,Chittagong,3,130033,10460.06,77.59,14,13,3,5,13,3,10,8,20,No
49,Male,Masters,Khulna,14,100440,14895.09,93.6,13,10,1,4,33,1,7,4,42,Yes
